province,cities_reg,poorpeople_percentage,reg_gdp,life_exp,avg_schooltime,exp_percap,Cluster
Aceh,Simeulue,18.98,2.2749999999999986,65.24,9.48,7148.0,0
Aceh,Aceh Singkil,20.36,2.424999999999997,67.355,8.68,8776.0,0
Aceh,Aceh Selatan,13.18,5.530999999999995,64.36,8.88,8180.0,0
Aceh,Aceh Tenggara,13.41,5.062999999999999,68.155,9.67,8030.0,0
Aceh,Aceh Timur,14.45,10.616,68.705,8.21,8577.0,0
Aceh,Aceh Tengah,15.26,7.388999999999999,68.79,9.86,10780.0,0
Aceh,Aceh Barat,18.81,8.116,67.945,9.55,9593.0,0
Aceh,Aceh Besar,14.05,13.335999999999999,69.745,10.33,9644.0,0
Aceh,Pidie,19.59,10.759999999999998,66.9,9.0,9860.0,0
Aceh,Bireuen,13.25,13.090000000000003,71.2,9.29,8867.0,0
Aceh,Aceh Utara,17.43,19.695,68.755,8.64,8201.0,0
Aceh,Aceh Barat Daya,16.34,3.9200000000000017,65.015,8.67,8428.0,0
Aceh,Gayo Lues,19.64,2.6950000000000003,65.475,8.4,8856.0,0
Aceh,Aceh Tamiang,13.34,7.512999999999998,69.565,8.91,8367.0,0
Aceh,Nagan Raya,18.23,7.6739999999999995,69.215,8.69,8292.0,0
Aceh,Aceh Jaya,13.23,2.6259999999999977,67.14,8.71,9666.0,0
Aceh,Bener Meriah,19.16,4.5219999999999985,69.205,10.0,11118.0,0
Aceh,Pidie Jaya,19.55,3.475999999999999,70.145,9.34,10290.0,0
Aceh,Kota Banda Aceh,7.61,18.288,71.47,12.83,16891.0,0
Aceh,Kota Sabang,15.32,1.5330000000000013,70.505,11.18,11378.0,0
Aceh,Kota Langsa,10.96,5.278999999999996,69.385,11.12,12067.0,0
Aceh,Kota Lhokseumawe,11.16,8.918,71.61,11.11,11390.0,0
Aceh,Kota Subulussalam,17.65,1.804000000000002,64.025,8.03,7385.0,0
Sumatera Utara,Nias,16.82,4.041,69.745,5.64,6995.0,0
Sumatera Utara,Mandailing Natal,9.49,13.843,62.605,8.63,9771.0,0
Sumatera Utara,Tapanuli Selatan,8.8,14.642,64.935,9.29,11304.0,0
Sumatera Utara,Tapanuli Tengah,12.67,10.139,67.18,8.84,10138.0,0
Sumatera Utara,Tapanuli Utara,9.72,8.274000000000001,68.71,9.99,11710.0,0
Sumatera Utara,Toba Samosir,8.99,7.844999999999999,70.21,10.57,12224.0,0
Sumatera Utara,Labuhan Batu,8.74,34.653,69.91,9.25,11212.0,0
Sumatera Utara,Asahan,9.35,38.692,68.335,8.8,11030.0,0
Sumatera Utara,Simalungun,8.81,39.441,71.325,9.61,11376.0,0
Sumatera Utara,Dairi,8.31,9.317999999999998,69.14,9.59,10504.0,0
Sumatera Utara,Karo,8.79,20.975,71.505,10.0,12412.0,0
Sumatera Utara,Deli Serdang,4.01,110.14500000000001,71.765,10.1,12291.0,0
Sumatera Utara,Langkat,10.12,43.208,68.935,8.66,11142.0,0
Sumatera Utara,Nias Selatan,16.92,7.1640000000000015,68.815,6.06,7041.0,0
Sumatera Utara,Humbang Hasundutan,9.65,6.123000000000001,69.435,9.71,8016.0,0
Sumatera Utara,Pakpak Bharat,9.35,1.2109999999999985,65.89,9.14,8254.0,0
Sumatera Utara,Samosir,12.68,4.542999999999999,71.345,9.44,8504.0,0
Sumatera Utara,Serdang Bedagai,8.3,28.602,68.805,8.69,11017.0,0
Sumatera Utara,Batu Bara,12.38,34.988,67.075,8.07,10539.0,0
Sumatera Utara,Padang Lawas Utara,9.92,12.189999999999998,67.19,9.38,10055.0,0
Sumatera Utara,Padang Lawas,8.69,11.997000000000003,67.11,9.02,8921.0,0
Sumatera Utara,Labuhan Batu Selatan,8.53,28.199,68.715,8.9,11562.0,0
Sumatera Utara,Labuhan Batu Utara,10.02,25.191,69.535,8.41,11840.0,0
Sumatera Utara,Nias Utara,25.66,3.710000000000001,69.485,6.77,6155.0,0
Sumatera Utara,Nias Barat,26.42,1.9230000000000018,69.03,6.69,5924.0,0
Sumatera Utara,Kota Sibolga,12.33,5.605,69.235,10.41,11540.0,0
Sumatera Utara,Kota Tanjung Balai,13.4,9.180999999999997,63.425,9.45,11225.0,0
Sumatera Utara,Kota Pematang Siantar,8.52,13.920000000000002,73.74,11.29,12436.0,0
Sumatera Utara,Kota Tebing Tinggi,10.3,6.0489999999999995,70.935,10.44,12939.0,0
Sumatera Utara,Kota Medan,8.34,242.198,73.22,11.48,14999.0,0
Sumatera Utara,Kota Binjai,5.81,11.768999999999995,72.43,10.94,11063.0,0
Sumatera Utara,Kota Padangsidimpuan,7.53,6.478999999999999,69.385,11.09,10965.0,0
Sumatera Utara,Kota Gunungsitoli,16.45,5.775999999999996,71.27,8.62,8134.0,0
Sumatera Barat,Kepulauan Mentawai,14.84,4.628999999999998,64.66,7.2,6321.0,0
Sumatera Barat,Pesisir Selatan,7.92,13.994999999999997,70.89,8.27,9270.0,0
Sumatera Barat,Solok,8.01,13.511,68.74,7.87,10215.0,0
Sumatera Barat,Sijunjung,6.8,9.122999999999998,66.31,8.12,10389.0,0
Sumatera Barat,Tanah Datar,4.54,13.027000000000001,70.08,8.62,10616.0,0
Sumatera Barat,Padang Pariaman,7.22,17.942,68.915,7.88,11050.0,0
Sumatera Barat,Agam,6.85,20.371,72.485,8.97,9662.0,0
Sumatera Barat,Lima Puluh Kota,7.29,15.533000000000001,69.8,8.07,9668.0,0
Sumatera Barat,Pasaman,7.48,8.890999999999995,67.54,8.1,8440.0,0
Sumatera Barat,Solok Selatan,7.52,5.5290000000000035,67.965,8.32,10367.0,0
Sumatera Barat,Dharmasraya,6.67,10.242,71.48,8.55,11324.0,0
Sumatera Barat,Pasaman Barat,7.51,15.246000000000002,67.815,8.27,9089.0,0
Sumatera Barat,Kota Padang,4.94,62.222,73.645,11.59,14540.0,0
Sumatera Barat,Kota Solok,3.120000000000001,4.042000000000002,73.695,11.04,12168.0,0
Sumatera Barat,Kota Sawah Lunto,2.379999999999999,3.657,70.07,10.32,10195.0,0
Sumatera Barat,Kota Padang Panjang,5.92,3.472999999999999,72.75,11.63,10754.0,0
Sumatera Barat,Kota Bukittinggi,5.14,8.628,74.48,11.34,13331.0,0
Sumatera Barat,Kota Payakumbuh,6.16,6.8239999999999945,73.805,10.81,13317.0,0
Sumatera Barat,Kota Pariaman,4.38,4.994,70.28,10.67,12818.0,0
Riau,Kuantan Singingi,8.97,33.749,68.485,8.75,10309.0,0
Riau,Indragiri Hulu,6.18,42.626,70.205,8.39,10260.0,0
Riau,Indragiri Hilir,6.18,65.023,67.945,7.24,9945.0,0
Riau,Pelalawan,9.63,50.64,71.185,8.7,11672.0,0
Riau,Siak,5.18,77.844,71.085,9.86,11807.0,0
Riau,Kampar,7.82,72.977,70.78,9.27,10858.0,0
Riau,Rokan Hulu,10.4,36.084,70.135,8.54,9406.0,0
Riau,Bengkalis,6.64,115.88300000000001,71.195,9.7,11415.0,0
Riau,Rokan Hilir,7.18,67.951,70.35,8.26,9417.0,0
Riau,Kepulauan Meranti,25.68,18.066,67.73,7.84,7780.0,0
